,x_query,y_query,x_train,y_train,Distance
Matches0,132.0964813232422,275.8492126464844,126.37948608398438,270.4185791015625,155.81399536132812
Matches1,138.63880920410156,414.2971496582031,118.7159652709961,410.6753845214844,178.20774841308594
Matches2,152.91009521484375,267.4846496582031,148.00689697265625,262.87469482421875,181.87632751464844
Matches3,152.91009521484375,267.4846496582031,148.00689697265625,262.87469482421875,218.08714294433594
Matches4,166.2213592529297,349.27569580078125,156.23963928222656,339.3052978515625,57.619441986083984
Matches5,168.247802734375,116.6755142211914,155.92478942871094,104.62596893310547,131.92422485351562
Matches6,171.71783447265625,77.33074951171875,159.04539489746094,64.99052429199219,201.462158203125
Matches7,177.15353393554688,478.7607727050781,172.11976623535156,473.2818908691406,207.09901428222656
Matches8,187.57144165039062,65.32723999023438,172.2653350830078,57.75458526611328,159.1540069580078
Matches9,188.45191955566406,75.0132064819336,174.4667205810547,61.928314208984375,215.32069396972656
Matches10,189.10052490234375,64.65510559082031,175.54396057128906,51.134620666503906,190.10523986816406
Matches11,191.32518005371094,423.41180419921875,181.97442626953125,414.8971862792969,192.0104217529297
Matches12,191.4158935546875,175.8303680419922,181.91136169433594,166.7592010498047,155.83323669433594
Matches13,193.54400634765625,391.748046875,183.9581756591797,382.0788879394531,109.49885559082031
Matches14,195.15866088867188,409.7886657714844,186.35411071777344,400.13397216796875,225.86721801757812
Matches15,196.08343505859375,401.64129638671875,186.13296508789062,391.786376953125,234.08758544921875
Matches16,197.10177612304688,184.4803924560547,188.36172485351562,176.6456756591797,175.43089294433594
Matches17,199.2052459716797,408.70587158203125,189.26222229003906,398.9714050292969,140.7764129638672
Matches18,200.5768280029297,93.62249755859375,183.66534423828125,76.26700592041016,255.2919921875
Matches19,201.04937744140625,161.18739318847656,189.45066833496094,149.66879272460938,127.78105926513672
Matches20,201.6495361328125,168.28564453125,190.868896484375,157.9251708984375,148.5429229736328
Matches21,202.08372497558594,273.6114501953125,196.49285888671875,267.61419677734375,102.81050872802734
Matches22,203.4099884033203,405.4652404785156,193.81024169921875,395.81390380859375,137.3389892578125
Matches23,205.57040405273438,410.95111083984375,195.9457550048828,401.5313415527344,87.40709686279297
Matches24,210.36520385742188,101.67274475097656,191.34779357910156,84.70105743408203,178.89382934570312
Matches25,212.0446319580078,118.05653381347656,194.6165008544922,100.82177734375,185.6879119873047
Matches26,213.35911560058594,126.06951141357422,195.65365600585938,108.97227478027344,189.56793212890625
Matches27,213.7034912109375,74.95560455322266,196.27584838867188,56.78001022338867,189.53627014160156
Matches28,216.21072387695312,103.35917663574219,198.16786193847656,85.20377349853516,150.05665588378906
Matches29,217.94122314453125,105.9959945678711,199.7617645263672,87.93405151367188,73.52550506591797
Matches30,218.0853271484375,134.4407501220703,201.5313720703125,117.70560455322266,196.9796905517578
Matches31,218.6219024658203,72.13688659667969,198.14906311035156,55.77302169799805,208.04806518554688
Matches32,222.59188842773438,102.07112884521484,204.132080078125,83.53352355957031,69.94998168945312
Matches33,222.98072814941406,131.39390563964844,206.35137939453125,114.66869354248047,166.88319396972656
Matches34,223.7262420654297,85.15895080566406,204.8356170654297,66.73622131347656,109.67679595947266
Matches35,227.83348083496094,136.83544921875,211.85708618164062,120.83610534667969,167.3559112548828
Matches36,228.90147399902344,105.91698455810547,208.9835205078125,87.64293670654297,173.17620849609375
Matches37,230.94334411621094,141.18661499023438,215.0942840576172,126.04725646972656,178.8826446533203
Matches38,235.5116424560547,53.23509216308594,219.3167724609375,37.05099868774414,154.17198181152344
Matches39,236.00852966308594,129.43930053710938,219.83949279785156,112.92539978027344,146.21559143066406
Matches40,246.35092163085938,324.0348205566406,240.28712463378906,317.9118957519531,171.5808868408203
Matches41,246.35092163085938,324.0348205566406,240.28712463378906,317.9118957519531,113.3490219116211
Matches42,249.13087463378906,280.6814880371094,242.94544982910156,274.4629821777344,166.98204040527344
Matches43,254.33804321289062,471.6038818359375,247.2523193359375,459.7913513183594,172.69915771484375
Matches44,254.66714477539062,66.12267303466797,237.1572265625,47.60163116455078,108.93116760253906
Matches45,254.71177673339844,120.81061553955078,232.86326599121094,100.69090270996094,216.30764770507812
Matches46,256.05908203125,134.7538299560547,238.9497528076172,116.67743682861328,185.5289764404297
Matches47,258.69012451171875,130.10833740234375,238.71156311035156,109.93421173095703,169.00592041015625
