,x_query,y_query,x_train,y_train,Distance
Matches13,58.28785705566406,190.51632690429688,52.60951232910156,185.15875244140625,228.54977416992188
Matches16,63.64238739013672,137.20436096191406,61.12244415283203,133.97915649414062,170.6751251220703
Matches18,63.799072265625,158.84420776367188,61.2402458190918,156.64324951171875,158.34140014648438
Matches22,64.45077514648438,198.0284423828125,58.09504318237305,191.1151885986328,230.36492919921875
Matches25,66.19918060302734,203.9422607421875,60.05923080444336,197.61544799804688,184.173828125
Matches26,68.09552764892578,127.03807067871094,65.88111114501953,124.84793090820312,69.9070816040039
Matches28,69.0130615234375,209.5823211669922,63.109710693359375,203.68856811523438,117.68601989746094
Matches30,70.24279022216797,158.9070587158203,67.6570816040039,156.46852111816406,108.80257415771484
Matches31,70.35147857666016,196.3115997314453,63.926795959472656,189.0838623046875,244.34197998046875
Matches35,74.20420837402344,157.40945434570312,71.37747955322266,154.34336853027344,155.69522094726562
Matches43,83.66836547851562,192.01979064941406,77.49214935302734,185.51905822753906,216.49249267578125
Matches44,84.24555206298828,197.98544311523438,78.11482238769531,191.51283264160156,174.42764282226562
Matches48,89.8218002319336,198.3068084716797,84.90560150146484,193.3883514404297,262.66326904296875
Matches49,92.76734161376953,229.42591857910156,87.40786743164062,224.97705078125,192.86782836914062
Matches50,93.6487045288086,203.93798828125,88.56568145751953,198.64881896972656,196.21926879882812
Matches51,95.20514678955078,226.15805053710938,90.1952896118164,222.62646484375,225.15994262695312
Matches52,95.76338958740234,242.50628662109375,89.9649887084961,237.1861114501953,226.689208984375
Matches55,101.2703628540039,263.4176940917969,96.01738739013672,258.1336669921875,168.7601776123047
Matches56,101.70028686523438,228.062255859375,97.52178955078125,223.574462890625,220.6490478515625
Matches57,104.62332153320312,210.45974731445312,98.859619140625,204.83509826660156,231.36550903320312
Matches58,104.97254180908203,247.63037109375,100.78511810302734,245.05528259277344,226.07742309570312
Matches59,105.23165130615234,220.2500457763672,99.75070190429688,215.69664001464844,217.3614501953125
Matches60,105.44570922851562,127.09547424316406,103.34452819824219,124.99964904785156,93.57884216308594
Matches61,110.74838256835938,249.17355346679688,106.90233612060547,246.54220581054688,224.6308135986328
Matches62,110.97689056396484,252.38949584960938,107.41602325439453,250.09449768066406,219.59963989257812
Matches63,111.49176788330078,146.29835510253906,117.974365234375,147.4471435546875,113.91224670410156
Matches67,148.35435485839844,259.1827697753906,145.81936645507812,256.26995849609375,175.55340576171875
Matches68,149.0668182373047,272.4491882324219,144.82830810546875,269.4813537597656,159.61203002929688
Matches69,150.0279998779297,302.0968933105469,143.58201599121094,296.2364501953125,222.15985107421875
Matches71,153.78591918945312,287.42193603515625,148.51588439941406,281.9908447265625,151.0662078857422
Matches72,154.05650329589844,321.5275573730469,150.26620483398438,317.07513427734375,217.63731384277344
Matches73,157.94984436035156,272.8703308105469,155.03941345214844,270.7937927246094,170.0117645263672
Matches74,158.49461364746094,292.0924072265625,153.9884033203125,287.48565673828125,123.51922607421875
Matches75,158.65296936035156,344.3996276855469,155.69464111328125,341.4359130859375,204.30859375
Matches76,159.068115234375,318.162353515625,154.9056854248047,313.5470275878906,188.00265502929688
Matches77,159.8751983642578,242.40945434570312,154.12684631347656,236.9337921142578,166.88319396972656
Matches78,160.2356414794922,90.60993957519531,156.1033477783203,85.10372161865234,171.27462768554688
Matches79,160.40184020996094,321.8200378417969,155.65162658691406,317.06878662109375,146.99319458007812
Matches80,162.319091796875,354.3832702636719,156.9310302734375,348.4867248535156,130.80902099609375
Matches81,162.8925323486328,287.0235900878906,158.3217010498047,282.64044189453125,183.22117614746094
Matches83,165.3336944580078,323.5710754394531,160.94644165039062,319.11785888671875,83.6779556274414
Matches84,165.3336944580078,323.5710754394531,160.94644165039062,319.11785888671875,169.55235290527344
Matches85,166.0005645751953,99.38136291503906,161.70213317871094,94.94025421142578,140.6165008544922
Matches87,168.66944885253906,242.91336059570312,162.4359130859375,236.99005126953125,133.70115661621094
Matches88,169.29269409179688,68.37715148925781,164.0754852294922,63.1719856262207,140.5809326171875
Matches89,169.34112548828125,343.9582214355469,165.3052978515625,339.4970397949219,103.46013641357422
Matches90,169.34112548828125,343.9582214355469,165.3052978515625,339.4970397949219,90.87353515625
Matches91,172.02264404296875,243.0594940185547,165.4394989013672,236.97499084472656,124.41061401367188
Matches92,172.51869201660156,290.2405700683594,166.7113037109375,283.7372131347656,113.27400207519531
Matches93,173.04541015625,309.9246520996094,167.6020050048828,304.759765625,87.40137481689453
Matches94,175.0078125,84.7370376586914,169.3134002685547,78.13947296142578,75.4585952758789
Matches95,175.53599548339844,120.9683837890625,171.05029296875,116.3080062866211,206.24742126464844
Matches96,176.3079376220703,280.18743896484375,170.3026885986328,274.0123291015625,112.7031478881836
Matches97,176.84017944335938,359.60406494140625,172.00621032714844,353.7611083984375,100.32946014404297
Matches98,177.80157470703125,222.32945251464844,170.5426788330078,215.53033447265625,230.67726135253906
Matches99,177.92767333984375,283.8941650390625,172.61256408691406,278.4938049316406,147.5228729248047
Matches100,177.92767333984375,283.8941650390625,172.61256408691406,278.4938049316406,147.18695068359375
Matches101,180.1396026611328,277.5887451171875,174.41172790527344,272.3684997558594,141.24801635742188
Matches102,180.84242248535156,80.68064880371094,175.15672302246094,74.94013214111328,104.8808822631836
Matches103,181.22784423828125,109.32832336425781,175.89276123046875,103.70879364013672,59.07622146606445
Matches104,183.03445434570312,84.70733642578125,177.2973175048828,78.65152740478516,109.18333435058594
Matches105,183.03445434570312,84.70733642578125,177.2973175048828,78.65152740478516,197.23590087890625
Matches106,183.0852813720703,43.96123504638672,175.61431884765625,41.009742736816406,131.63966369628906
Matches107,183.33248901367188,77.36988067626953,177.77642822265625,71.67799377441406,59.824745178222656
